Feature_Selector,Model,F1_with_FS,F1_without_FS,Abs_Diff,Mean_DPR_with_FS,Mean_EOR_with_FS,Mean_DPR_without_FS,Mean_EOR_without_FS,Num_Features
SelectKBest_f_classif20,RandomForest,0.7195,0.7869,0.0674,0.7977,0.6033,0.8988,0.8074,6.0
SelectKBest_f_classif20,XGBoost,0.7311,0.7849,0.0537,0.7976,0.5687,0.8915,0.8143,6.0
SelectKBest_f_classif20,kNN,0.7064,0.7207,0.0144,0.7944,0.6209,0.8339,0.6601,6.0
SelectKBest_f_classif20,SVM,0.7318,0.7343,0.0025,0.7646,0.5115,0.7711,0.5179,6.0
SelectKBest_f_classif20,MLP,0.7227,0.7029,0.1061,0.7708,0.5122,0.8535,0.721,6.0
SelectKBest_f_classif20,LR,0.7364,0.7657,0.0292,0.748,0.5138,0.7686,0.6418,6.0
SelectKBest_f_classif20,CatBoost,0.7363,0.792,0.0557,0.7997,0.5527,0.894,0.8105,6.0
SelectKBest_f_classif40,RandomForest,0.7377,0.7869,0.0492,0.8485,0.6407,0.8988,0.8074,12.0
SelectKBest_f_classif40,XGBoost,0.7393,0.7849,0.0455,0.8644,0.6671,0.8915,0.8143,12.0
SelectKBest_f_classif40,kNN,0.7109,0.7207,0.0098,0.7956,0.6165,0.8339,0.6601,12.0
SelectKBest_f_classif40,SVM,0.7325,0.7343,0.0019,0.7656,0.5135,0.7711,0.5179,12.0
SelectKBest_f_classif40,MLP,0.7042,0.7029,0.0855,0.8527,0.5991,0.8535,0.721,12.0
SelectKBest_f_classif40,LR,0.7379,0.7657,0.0278,0.8163,0.6069,0.7686,0.6418,12.0
SelectKBest_f_classif40,CatBoost,0.7473,0.792,0.0448,0.8623,0.6366,0.894,0.8105,12.0
SelectKBest_f_classif60,RandomForest,0.7633,0.7869,0.0237,0.8941,0.8038,0.8988,0.8074,18.0
SelectKBest_f_classif60,XGBoost,0.7629,0.7849,0.0219,0.8836,0.7919,0.8915,0.8143,18.0
SelectKBest_f_classif60,kNN,0.7204,0.7207,0.0003,0.8331,0.6591,0.8339,0.6601,18.0
SelectKBest_f_classif60,SVM,0.7341,0.7343,0.0002,0.7713,0.5185,0.7711,0.5179,18.0
SelectKBest_f_classif60,MLP,0.6982,0.7029,0.0435,0.918,0.8166,0.8535,0.721,18.0
SelectKBest_f_classif60,LR,0.7447,0.7657,0.021,0.8229,0.7006,0.7686,0.6418,18.0
SelectKBest_f_classif60,CatBoost,0.771,0.792,0.021,0.8896,0.7896,0.894,0.8105,18.0
SelectKBest_f_classif80,RandomForest,0.7842,0.7869,0.0027,0.8959,0.8366,0.8988,0.8074,24.0
SelectKBest_f_classif80,XGBoost,0.7817,0.7849,0.0049,0.8918,0.812,0.8915,0.8143,24.0
SelectKBest_f_classif80,kNN,0.7207,0.7207,0.0002,0.8339,0.6603,0.8339,0.6601,24.0
SelectKBest_f_classif80,SVM,0.7343,0.7343,0.0,0.7711,0.5179,0.7711,0.5179,24.0
SelectKBest_f_classif80,MLP,0.7659,0.7029,0.0889,0.8591,0.7246,0.8535,0.721,24.0
SelectKBest_f_classif80,LR,0.757,0.7657,0.0091,0.7583,0.6276,0.7686,0.6418,24.0
SelectKBest_f_classif80,CatBoost,0.7896,0.792,0.0032,0.887,0.8138,0.894,0.8105,24.0
SelectPercentile_mutual_info20,RandomForest,0.723,0.7869,0.064,0.8251,0.6529,0.8988,0.8074,6.0
SelectPercentile_mutual_info20,XGBoost,0.7344,0.7849,0.0505,0.8142,0.6118,0.8915,0.8143,6.0
SelectPercentile_mutual_info20,kNN,0.7102,0.7207,0.0111,0.8027,0.6285,0.8339,0.6601,6.0
