Feature_Selector,Model,F1_with_FS,F1_without_FS,Abs_Diff,Mean_DPR_with_FS,Mean_EOR_with_FS,Mean_DPR_without_FS,Mean_EOR_without_FS,Num_Features
RFE_LogisticRegression20,XGBoost,0.5982,0.5764,0.0496,0.5078,0.2566,,,7.0
RFE_LogisticRegression20,kNN,0.6523,0.4695,0.1828,0.5169,0.3398,,,7.0
RFE_LogisticRegression20,SVM,0.5955,0.449,0.1465,0.5282,0.3386,,,7.0
RFE_LogisticRegression20,MLP,0.5768,0.5219,0.1344,0.5959,0.3725,,,7.0
RFE_LogisticRegression20,LR,0.5729,0.53,0.1024,0.5602,0.3667,0.4855,,7.0
RFE_LogisticRegression20,CatBoost,0.6232,0.598,0.0911,0.5387,0.3444,,,7.0
RFE_LogisticRegression40,RandomForest,0.6443,0.5,0.1688,0.5678,0.3319,,,14.0
RFE_LogisticRegression40,XGBoost,0.5586,0.5764,0.0379,0.442,,,,14.0
RFE_LogisticRegression40,kNN,0.545,0.4695,0.1465,0.6256,0.4272,,,14.0
RFE_LogisticRegression40,SVM,0.4857,0.449,0.0467,0.6979,0.4825,,,14.0
RFE_LogisticRegression40,MLP,0.525,0.5219,0.0918,0.3957,,,,14.0
RFE_LogisticRegression40,LR,0.5818,0.53,0.1074,0.5906,,0.4855,,14.0
RFE_LogisticRegression40,CatBoost,0.5437,0.598,0.076,0.4546,,,,14.0
RFE_LogisticRegression60,RandomForest,0.6077,0.5,0.1158,0.487,,,,21.0
RFE_LogisticRegression60,XGBoost,0.5628,0.5764,0.0646,0.4734,,,,21.0
RFE_LogisticRegression60,kNN,0.4767,0.4695,0.1092,0.6358,,,,21.0
RFE_LogisticRegression60,SVM,0.517,0.449,0.0893,0.7272,0.5402,,,21.0
RFE_LogisticRegression60,MLP,0.4921,0.5219,0.0583,0.6018,,,,21.0
RFE_LogisticRegression60,LR,0.5823,0.53,0.062,0.5152,,0.4855,,21.0
RFE_LogisticRegression60,CatBoost,0.6142,0.598,0.0538,0.5542,,,,21.0
RFE_LogisticRegression80,RandomForest,0.5029,0.5,0.0533,0.6302,0.4909,,,28.0
RFE_LogisticRegression80,XGBoost,0.5764,0.5764,0.018,0.5366,0.4062,,,28.0
RFE_LogisticRegression80,kNN,0.3954,0.4695,0.0778,0.5723,,,,28.0
RFE_LogisticRegression80,SVM,0.4624,0.449,0.0468,0.6613,0.5061,,,28.0
RFE_LogisticRegression80,MLP,0.4847,0.5219,0.0546,0.4329,,,,28.0
RFE_LogisticRegression80,LR,0.5683,0.53,0.0383,0.4791,,0.4855,,28.0
RFE_LogisticRegression80,CatBoost,0.5852,0.598,0.0148,0.4805,,,,28.0
RFE_RF20,RandomForest,0.4947,0.5,0.0915,0.4812,,,,7.0
RFE_RF20,XGBoost,0.5077,0.5764,0.1405,0.4743,0.1858,,,7.0
RFE_RF20,kNN,0.354,0.4695,0.1337,0.5664,,,,7.0
RFE_RF20,SVM,0.3593,0.449,0.112,0.6602,,,,7.0
RFE_RF20,MLP,0.3731,0.5219,0.1512,0.594,,,,7.0
RFE_RF20,LR,0.5122,0.53,0.0936,0.6125,,0.4855,,7.0
RFE_RF20,CatBoost,0.4852,0.598,0.1879,0.4785,,,,7.0
RFE_RF40,RandomForest,0.516,0.5,0.1354,0.5489,0.3621,,,14.0
RFE_RF40,XGBoost,0.5163,0.5764,0.0888,0.5454,0.3385,,,14.0
RFE_RF40,kNN,0.3933,0.4695,0.0875,0.7128,,,,14.0
RFE_RF40,SVM,0.4598,0.449,0.0442,0.6105,0.4786,,,14.0
RFE_RF40,MLP,0.5205,0.5219,0.0909,0.4391,,,,14.0
