Feature_Selector,Model,F1_with_FS,F1_without_FS,Abs_Diff,Mean_DPR_with_FS,Mean_EOR_with_FS,Mean_DPR_without_FS,Mean_EOR_without_FS,Num_Features
SelectKBest_f_classif20,RandomForest,0.7508,0.7955,0.0539,0.6494,0.5669,0.5821,0.4752,7.0
SelectKBest_f_classif20,XGBoost,0.7127,0.7829,0.0702,0.6958,0.6211,0.6229,0.497,7.0
SelectKBest_f_classif20,kNN,0.6006,0.6341,0.0335,0.6674,0.6614,0.594,0.5405,7.0
SelectKBest_f_classif20,SVM,0.6318,0.628,0.0266,0.6743,0.6023,0.6541,0.5669,7.0
SelectKBest_f_classif20,MLP,0.6886,0.7405,0.0519,0.6622,0.6314,0.6095,0.511,7.0
SelectKBest_f_classif20,LR,0.7473,0.7673,0.0292,0.6749,0.6456,0.5898,0.4894,7.0
SelectKBest_f_classif20,CatBoost,0.7464,0.7989,0.0524,0.6049,0.4531,0.5623,0.4161,7.0
SelectKBest_f_classif40,RandomForest,0.7876,0.7955,0.0174,0.5866,0.4259,0.5821,0.4752,15.0
SelectKBest_f_classif40,XGBoost,0.7431,0.7829,0.0398,0.6511,0.5696,0.6229,0.497,15.0
SelectKBest_f_classif40,kNN,0.6321,0.6341,0.002,0.6021,0.5494,0.594,0.5405,15.0
SelectKBest_f_classif40,SVM,0.6282,0.628,0.0044,0.6541,0.5606,0.6541,0.5669,15.0
SelectKBest_f_classif40,MLP,0.7438,0.7405,0.0317,0.629,0.6023,0.6095,0.511,15.0
SelectKBest_f_classif40,LR,0.7631,0.7673,0.0214,0.6203,0.4729,0.5898,0.4894,15.0
SelectKBest_f_classif40,CatBoost,0.7796,0.7989,0.0199,0.6026,0.4047,0.5623,0.4161,15.0
SelectKBest_f_classif60,RandomForest,0.7851,0.7955,0.0222,0.5969,0.4126,0.5821,0.4752,23.0
SelectKBest_f_classif60,XGBoost,0.7393,0.7829,0.0437,0.6072,0.4717,0.6229,0.497,23.0
SelectKBest_f_classif60,kNN,0.632,0.6341,0.0021,0.595,0.5405,0.594,0.5405,23.0
SelectKBest_f_classif60,SVM,0.628,0.628,0.0,0.6541,0.5669,0.6541,0.5669,23.0
SelectKBest_f_classif60,MLP,0.7353,0.7405,0.0299,0.606,0.4827,0.6095,0.511,23.0
SelectKBest_f_classif60,LR,0.7597,0.7673,0.0197,0.5989,0.4924,0.5898,0.4894,23.0
SelectKBest_f_classif60,CatBoost,0.7696,0.7989,0.0292,0.5846,0.3866,0.5623,0.4161,23.0
SelectKBest_f_classif80,RandomForest,0.773,0.7955,0.0346,0.5832,0.5217,0.5821,0.4752,31.0
