Feature_Selector,Model,F1_with_FS,F1_without_FS,Abs_Diff,Mean_DPR_with_FS,Mean_EOR_with_FS,Mean_DPR_without_FS,Mean_EOR_without_FS,Num_Features
SelectKBest_f_classif20,RandomForest,0.5619,0.5551,0.0099,0.8676,0.8044,0.8625,0.8337,87.0
SelectKBest_f_classif20,XGBoost,0.5639,0.5812,0.0173,0.8878,0.8532,0.8046,0.7862,87.0
SelectKBest_f_classif20,kNN,0.5096,0.3401,0.1695,0.8826,0.893,0.9294,0.8663,87.0
SelectKBest_f_classif20,SVM,0.2615,0.2615,0.0,1.0,1.0,,,87.0
SelectKBest_f_classif20,MLP,0.3806,0.435,0.0683,0.8637,0.8167,0.8109,0.7262,87.0
SelectKBest_f_classif20,LR,0.4083,0.3616,0.0467,0.8303,0.6508,,,87.0
SelectKBest_f_classif20,CatBoost,0.5663,0.5849,0.0186,0.8731,0.8443,0.7977,0.7954,87.0
SelectKBest_f_classif40,RandomForest,0.551,0.5551,0.0066,0.8563,0.8065,0.8625,0.8337,174.0
SelectKBest_f_classif40,XGBoost,0.5669,0.5812,0.0143,0.8115,0.784,0.8046,0.7862,174.0
SelectKBest_f_classif40,kNN,0.5176,0.3401,0.1775,0.8819,0.8774,0.9294,0.8663,174.0
SelectKBest_f_classif40,SVM,0.2615,0.2615,0.0,1.0,1.0,,,174.0
SelectKBest_f_classif40,MLP,0.4312,0.435,0.0361,0.7617,0.6869,0.8109,0.7262,174.0
SelectKBest_f_classif40,LR,0.4152,0.3616,0.0536,0.8205,0.717,,,174.0
SelectKBest_f_classif40,CatBoost,0.5746,0.5849,0.0104,0.8177,0.8066,0.7977,0.7954,174.0
SelectKBest_f_classif60,RandomForest,0.5563,0.5551,0.0062,0.8499,0.8448,0.8625,0.8337,262.0
SelectKBest_f_classif60,XGBoost,0.5717,0.5812,0.0095,0.8414,0.8283,0.8046,0.7862,262.0
SelectKBest_f_classif60,kNN,0.5233,0.3401,0.1831,0.8972,0.8607,0.9294,0.8663,262.0
SelectKBest_f_classif60,SVM,0.2615,0.2615,0.0,1.0,1.0,,,262.0
SelectKBest_f_classif60,MLP,0.4814,0.435,0.0515,0.7244,0.6353,0.8109,0.7262,262.0
SelectKBest_f_classif60,LR,0.4081,0.3616,0.0465,0.7758,0.6733,,,262.0
SelectKBest_f_classif60,CatBoost,0.5824,0.5849,0.0025,0.7978,0.7824,0.7977,0.7954,262.0
SelectKBest_f_classif80,RandomForest,0.5562,0.5551,0.0077,0.857,0.837,0.8625,0.8337,349.0
SelectKBest_f_classif80,XGBoost,0.5793,0.5812,0.0114,0.8518,0.8297,0.8046,0.7862,349.0
SelectKBest_f_classif80,kNN,0.5204,0.3401,0.1802,0.8729,0.8689,0.9294,0.8663,349.0
SelectKBest_f_classif80,SVM,0.2615,0.2615,0.0,1.0,1.0,,,349.0
SelectKBest_f_classif80,MLP,0.5328,0.435,0.0977,0.8001,0.7512,0.8109,0.7262,349.0
SelectKBest_f_classif80,LR,0.4134,0.3616,0.0518,0.8,0.6634,,,349.0
SelectKBest_f_classif80,CatBoost,0.5918,0.5849,0.007,0.8188,0.8077,0.7977,0.7954,349.0
SelectPercentile_mutual_info20,RandomForest,0.549,0.5551,0.0068,0.8719,0.8453,0.8625,0.8337,88.0
SelectPercentile_mutual_info20,XGBoost,0.5485,0.5812,0.0327,0.8636,0.8527,0.8046,0.7862,88.0
SelectPercentile_mutual_info20,kNN,0.5132,0.3401,0.173,0.8919,0.8683,0.9294,0.8663,88.0
SelectPercentile_mutual_info20,SVM,0.2615,0.2615,0.0,1.0,1.0,,,88.0
SelectPercentile_mutual_info20,MLP,0.4656,0.435,0.0825,0.83,0.8138,0.8109,0.7262,88.0
SelectPercentile_mutual_info20,LR,0.385,0.3616,0.0284,0.8152,0.7272,,,88.0
SelectPercentile_mutual_info20,CatBoost,0.5696,0.5849,0.0153,0.8416,0.7872,0.7977,0.7954,88.0
SelectPercentile_mutual_info40,RandomForest,0.551,0.5551,0.0105,0.839,0.816,0.8625,0.8337,175.0
SelectPercentile_mutual_info40,XGBoost,0.5746,0.5812,0.0083,0.8194,0.7979,0.8046,0.7862,175.0
SelectPercentile_mutual_info40,kNN,0.5167,0.3401,0.1766,0.88,0.8541,0.9294,0.8663,175.0
SelectPercentile_mutual_info40,SVM,0.2615,0.2615,0.0,1.0,1.0,,,175.0
SelectPercentile_mutual_info40,MLP,0.5297,0.435,0.0947,0.7386,0.6705,0.8109,0.7262,175.0
SelectPercentile_mutual_info40,LR,0.4063,0.3616,0.0447,0.7565,0.7162,,,175.0
SelectPercentile_mutual_info40,CatBoost,0.5833,0.5849,0.0066,0.7799,0.7718,0.7977,0.7954,175.0
SelectPercentile_mutual_info60,RandomForest,0.5502,0.5551,0.008,0.8458,0.8337,0.8625,0.8337,262.0
SelectPercentile_mutual_info60,XGBoost,0.5786,0.5812,0.0085,0.8187,0.7991,0.8046,0.7862,262.0
SelectPercentile_mutual_info60,kNN,0.3728,0.3401,0.0337,0.9291,0.8809,0.9294,0.8663,262.0
